period,reported_district,data_type,age_group,total
2020-02-01,Chilubi,Clinical,Under 5,745
2020-02-01,Chilubi,Confirmed,Under 5,662
2020-02-01,Chilubi,Confirmed,Over 5,1612
2020-02-01,Chilubi,Confirmed,Under 5,364
2020-02-01,Kaputa,Clinical,Under 5,410
2020-02-01,Kaputa,Clinical,Over 5,852
2020-02-01,Kaputa,Clinical,Under 5,114
2020-02-01,Kaputa,Confirmed,Under 5,554
2020-02-01,Kaputa,Confirmed,Over 5,850
2020-02-01,Kaputa,Confirmed,Under 5,119
2020-02-01,Kasama,Clinical,Under 5,396
2020-02-01,Kasama,Clinical,Over 5,903
2020-02-01,Kasama,Clinical,Under 5,278
2020-02-01,Kasama,Confirmed,Under 5,4907
2020-02-01,Kasama,Confirmed,Over 5,14369
2020-02-01,Kasama,Confirmed,Under 5,1401
2020-02-01,Kasama,Confirmed_Passive_CHW,Over 5,59
2020-02-01,Kasama,Confirmed_Passive_CHW,Under 5,15
2020-02-01,Kasama,Confirmed_Passive_CHW,NA,0
2020-02-01,Lunte,Clinical,Under 5,404
2020-02-01,Lunte,Clinical,Over 5,1231
2020-02-01,Lunte,Clinical,Under 5,48
2020-02-01,Lunte,Confirmed,Under 5,516
2020-02-01,Lunte,Confirmed,Over 5,1733
2020-02-01,Lunte,Confirmed,Under 5,84
2020-02-01,Lupososhi,Clinical,Under 5,909
2020-02-01,Lupososhi,Clinical,Over 5,1461
2020-02-01,Lupososhi,Clinical,Under 5,388
2020-02-01,Lupososhi,Confirmed,Under 5,272
2020-02-01,Lupososhi,Confirmed,Over 5,416
2020-02-01,Lupososhi,Confirmed,Under 5,83
2020-02-01,Luwingu,Clinical,Under 5,1033
2020-02-01,Luwingu,Clinical,Over 5,2978
2020-02-01,Luwingu,Clinical,Under 5,262
2020-02-01,Luwingu,Confirmed,Under 5,287
2020-02-01,Luwingu,Confirmed,Over 5,759
2020-02-01,Luwingu,Confirmed,Under 5,131
2020-02-01,Mbala,Clinical,Under 5,838
2020-02-01,Mbala,Clinical,Over 5,2626
2020-02-01,Mbala,Clinical,Under 5,198
2020-02-01,Mbala,Confirmed,Under 5,579
2020-02-01,Mbala,Confirmed,Over 5,1834
2020-02-01,Mbala,Confirmed,Under 5,99
2020-02-01,Mbala,Confirmed_Passive_CHW,Over 5,139
2020-02-01,Mbala,Confirmed_Passive_CHW,Under 5,42
2020-02-01,Mbala,Confirmed_Passive_CHW,NA,0
2020-02-01,Mporokoso,Confirmed,Under 5,445
2020-02-01,Mporokoso,Confirmed,Over 5,2434
2020-02-01,Mporokoso,Confirmed,Under 5,69
2020-02-01,Mpulungu,Confirmed,Under 5,50
2020-02-01,Mpulungu,Confirmed,Over 5,101
2020-02-01,Mpulungu,Confirmed,Under 5,7
2020-02-01,Mpulungu,Confirmed,NA,2
2020-02-01,Mungwi,Clinical,Under 5,1873
2020-02-01,Mungwi,Clinical,Over 5,3453
2020-02-01,Mungwi,Clinical,Under 5,594
2020-02-01,Mungwi,Confirmed,Under 5,1554
2020-02-01,Mungwi,Confirmed,Over 5,3092
2020-02-01,Mungwi,Confirmed,Under 5,458
2020-02-01,Nsama,Clinical,Under 5,229
2020-02-01,Nsama,Clinical,Over 5,473
2020-02-01,Nsama,Clinical,Under 5,86
2020-02-01,Nsama,Confirmed,Under 5,518
2020-02-01,Nsama,Confirmed,Over 5,990
2020-02-01,Nsama,Confirmed,Under 5,150
2020-02-01,Senga,Clinical,Under 5,961
2020-02-01,Senga,Clinical,Over 5,2125
2020-02-01,Senga,Clinical,Under 5,252
2020-02-01,Senga,Confirmed,Under 5,824
2020-02-01,Senga,Confirmed,Over 5,1594
2020-02-01,Senga,Confirmed,Under 5,223
2020-02-01,Senga,Confirmed_Passive_CHW,Over 5,80
2020-02-01,Senga,Confirmed_Passive_CHW,Under 5,19
2020-02-01,Senga,Confirmed_Passive_CHW,NA,0
2020-03-01,Chilubi,Clinical,Under 5,682
2020-03-01,Chilubi,Clinical,Over 5,1124
2020-03-01,Chilubi,Clinical,Under 5,259
2020-03-01,Chilubi,Confirmed,Under 5,1843
2020-03-01,Chilubi,Confirmed,Over 5,1999
2020-03-01,Chilubi,Confirmed,Under 5,1049
2020-03-01,Kaputa,Clinical,Under 5,52
2020-03-01,Kaputa,Clinical,Over 5,145
2020-03-01,Kaputa,Clinical,Under 5,22
2020-03-01,Kaputa,Confirmed,Under 5,1392
2020-03-01,Kaputa,Confirmed,Over 5,2451
2020-03-01,Kaputa,Confirmed,Under 5,336
2020-03-01,Kasama,Clinical,Under 5,622
2020-03-01,Kasama,Clinical,Over 5,2140
2020-03-01,Kasama,Clinical,Under 5,237
2020-03-01,Kasama,Confirmed,Under 5,4910
2020-03-01,Kasama,Confirmed,Over 5,14987
2020-03-01,Kasama,Confirmed,Under 5,1286
2020-03-01,Kasama,Confirmed_Passive_CHW,Over 5,0
2020-03-01,Kasama,Confirmed_Passive_CHW,Under 5,0
2020-03-01,Kasama,Confirmed_Passive_CHW,NA,0
2020-03-01,Lunte,Clinical,Under 5,49
2020-03-01,Lunte,Clinical,Over 5,163
2020-03-01,Lunte,Clinical,Under 5,10
2020-03-01,Lunte,Confirmed,Under 5,1115
2020-03-01,Lunte,Confirmed,Over 5,3763
2020-03-01,Lunte,Confirmed,Under 5,143
2020-03-01,Lupososhi,Clinical,Under 5,143
2020-03-01,Lupososhi,Clinical,Over 5,366
2020-03-01,Lupososhi,Clinical,Under 5,60
2020-03-01,Lupososhi,Confirmed,Under 5,1220
2020-03-01,Lupososhi,Confirmed,Over 5,1973
2020-03-01,Lupososhi,Confirmed,Under 5,375
2020-03-01,Luwingu,Clinical,Under 5,496
2020-03-01,Luwingu,Clinical,Over 5,1406
2020-03-01,Luwingu,Clinical,Under 5,157
2020-03-01,Luwingu,Confirmed,Under 5,1240
2020-03-01,Luwingu,Confirmed,Over 5,2377
2020-03-01,Luwingu,Confirmed,Under 5,514
2020-03-01,Mbala,Clinical,Under 5,430
2020-03-01,Mbala,Clinical,Over 5,1070
2020-03-01,Mbala,Clinical,Under 5,125
2020-03-01,Mbala,Confirmed,Under 5,1237
2020-03-01,Mbala,Confirmed,Over 5,4004
2020-03-01,Mbala,Confirmed,Under 5,296
2020-03-01,Mbala,Confirmed_Passive_CHW,Over 5,299
2020-03-01,Mbala,Confirmed_Passive_CHW,Under 5,95
2020-03-01,Mbala,Confirmed_Passive_CHW,NA,0
2020-03-01,Mporokoso,Confirmed,Under 5,617
2020-03-01,Mporokoso,Confirmed,Over 5,3113
2020-03-01,Mporokoso,Confirmed,Under 5,138
2020-03-01,Mpulungu,Confirmed,Under 5,69
2020-03-01,Mpulungu,Confirmed,Over 5,109
2020-03-01,Mpulungu,Confirmed,Under 5,14
2020-03-01,Mungwi,Clinical,Under 5,1185
2020-03-01,Mungwi,Clinical,Over 5,2643
2020-03-01,Mungwi,Clinical,Under 5,545
2020-03-01,Mungwi,Confirmed,Under 5,2606
2020-03-01,Mungwi,Confirmed,Over 5,6076
2020-03-01,Mungwi,Confirmed,Under 5,700
2020-03-01,Nsama,Clinical,Under 5,66
2020-03-01,Nsama,Clinical,Over 5,178
2020-03-01,Nsama,Clinical,Under 5,25
2020-03-01,Nsama,Confirmed,Under 5,924
2020-03-01,Nsama,Confirmed,Over 5,1496
2020-03-01,Nsama,Confirmed,Under 5,230
2020-03-01,Senga,Clinical,Under 5,322
2020-03-01,Senga,Clinical,Over 5,961
2020-03-01,Senga,Clinical,Under 5,97
2020-03-01,Senga,Confirmed,Under 5,1838
2020-03-01,Senga,Confirmed,Over 5,4341
2020-03-01,Senga,Confirmed,Under 5,476
2020-03-01,Senga,Confirmed_Passive_CHW,Over 5,88
2020-03-01,Senga,Confirmed_Passive_CHW,Under 5,28
2020-03-01,Senga,Confirmed_Passive_CHW,NA,0
2020-04-01,Chilubi,Clinical,Under 5,936
2020-04-01,Chilubi,Clinical,Over 5,1086
2020-04-01,Chilubi,Clinical,Under 5,504
2020-04-01,Chilubi,Confirmed,Under 5,1347
2020-04-01,Chilubi,Confirmed,Over 5,1427
2020-04-01,Chilubi,Confirmed,Under 5,790
2020-04-01,Kaputa,Clinical,Under 5,2
2020-04-01,Kaputa,Clinical,Over 5,2
2020-04-01,Kaputa,Confirmed,Under 5,1751
2020-04-01,Kaputa,Confirmed,Over 5,3576
2020-04-01,Kaputa,Confirmed,Under 5,492
2020-04-01,Kasama,Clinical,Under 5,862
2020-04-01,Kasama,Clinical,Over 5,2771
2020-04-01,Kasama,Clinical,Under 5,220
2020-04-01,Kasama,Confirmed,Under 5,3286
2020-04-01,Kasama,Confirmed,Over 5,10257
2020-04-01,Kasama,Confirmed,Under 5,751
2020-04-01,Kasama,Confirmed_Passive_CHW,Over 5,0
2020-04-01,Kasama,Confirmed_Passive_CHW,Under 5,0
2020-04-01,Kasama,Confirmed_Passive_CHW,NA,0
2020-04-01,Lunte,Clinical,Under 5,741
2020-04-01,Lunte,Clinical,Over 5,2688
2020-04-01,Lunte,Clinical,Under 5,101
2020-04-01,Lunte,Confirmed,Under 5,356
2020-04-01,Lunte,Confirmed,Over 5,1139
2020-04-01,Lunte,Confirmed,Under 5,60
2020-04-01,Lupososhi,Clinical,Under 5,539
2020-04-01,Lupososhi,Clinical,Over 5,851
2020-04-01,Lupososhi,Clinical,Under 5,178
2020-04-01,Lupososhi,Confirmed,Under 5,575
2020-04-01,Lupososhi,Confirmed,Over 5,893
2020-04-01,Lupososhi,Confirmed,Under 5,196
2020-04-01,Luwingu,Clinical,Under 5,629
2020-04-01,Luwingu,Clinical,Over 5,1809
2020-04-01,Luwingu,Clinical,Under 5,142
2020-04-01,Luwingu,Confirmed,Under 5,675
2020-04-01,Luwingu,Confirmed,Over 5,1102
2020-04-01,Luwingu,Confirmed,Under 5,246
2020-04-01,Mbala,Clinical,Under 5,259
2020-04-01,Mbala,Clinical,Over 5,765
2020-04-01,Mbala,Clinical,Under 5,89
2020-04-01,Mbala,Confirmed,Under 5,1459
2020-04-01,Mbala,Confirmed,Over 5,4048
2020-04-01,Mbala,Confirmed,Under 5,183
2020-04-01,Mbala,Confirmed_Passive_CHW,Over 5,88
2020-04-01,Mbala,Confirmed_Passive_CHW,Under 5,29
2020-04-01,Mbala,Confirmed_Passive_CHW,NA,0
2020-04-01,Mporokoso,Confirmed,Under 5,585
2020-04-01,Mporokoso,Confirmed,Over 5,3672
2020-04-01,Mporokoso,Confirmed,Under 5,95
2020-04-01,Mpulungu,Clinical,Under 5,180
2020-04-01,Mpulungu,Clinical,Over 5,184
2020-04-01,Mpulungu,Clinical,Under 5,17
2020-04-01,Mpulungu,Confirmed,Under 5,620
2020-04-01,Mpulungu,Confirmed,Over 5,783
2020-04-01,Mpulungu,Confirmed,Under 5,113
2020-04-01,Mungwi,Clinical,Under 5,2604
2020-04-01,Mungwi,Clinical,Over 5,4587
2020-04-01,Mungwi,Clinical,Under 5,994
2020-04-01,Mungwi,Confirmed,Under 5,1133
2020-04-01,Mungwi,Confirmed,Over 5,2956
2020-04-01,Mungwi,Confirmed,Under 5,300
2020-04-01,Nsama,Clinical,Under 5,396
2020-04-01,Nsama,Clinical,Over 5,625
2020-04-01,Nsama,Clinical,Under 5,115
2020-04-01,Nsama,Confirmed,Under 5,912
2020-04-01,Nsama,Confirmed,Over 5,1629
2020-04-01,Nsama,Confirmed,Under 5,229
2020-04-01,Senga,Clinical,Under 5,416
2020-04-01,Senga,Clinical,Over 5,944
2020-04-01,Senga,Clinical,Under 5,102
2020-04-01,Senga,Confirmed,Under 5,1166
2020-04-01,Senga,Confirmed,Over 5,2842
2020-04-01,Senga,Confirmed,Under 5,298
2020-04-01,Senga,Confirmed_Passive_CHW,Over 5,36
2020-04-01,Senga,Confirmed_Passive_CHW,Under 5,5
2020-04-01,Senga,Confirmed_Passive_CHW,NA,0
2020-05-01,Chilubi,Clinical,Under 5,424
2020-05-01,Chilubi,Clinical,Over 5,555
2020-05-01,Chilubi,Clinical,Under 5,231
2020-05-01,Chilubi,Confirmed,Under 5,1604
2020-05-01,Chilubi,Confirmed,Over 5,1782
2020-05-01,Chilubi,Confirmed,Under 5,792
2020-05-01,Kaputa,Clinical,Over 5,3
2020-05-01,Kaputa,Confirmed,Under 5,1784
2020-05-01,Kaputa,Confirmed,Over 5,3376
2020-05-01,Kaputa,Confirmed,Under 5,639
2020-05-01,Kasama,Clinical,Under 5,360
2020-05-01,Kasama,Clinical,Over 5,1129
2020-05-01,Kasama,Clinical,Under 5,94
2020-05-01,Kasama,Confirmed,Under 5,4425
2020-05-01,Kasama,Confirmed,Over 5,12957
2020-05-01,Kasama,Confirmed,Under 5,1027
2020-05-01,Kasama,Confirmed_Passive_CHW,Over 5,0
2020-05-01,Kasama,Confirmed_Passive_CHW,Under 5,0
2020-05-01,Kasama,Confirmed_Passive_CHW,NA,0
2020-05-01,Lunte,Clinical,Under 5,257
2020-05-01,Lunte,Clinical,Over 5,1158
2020-05-01,Lunte,Clinical,Under 5,41
2020-05-01,Lunte,Confirmed,Under 5,1071
2020-05-01,Lunte,Confirmed,Over 5,4074
2020-05-01,Lunte,Confirmed,Under 5,116
2020-05-01,Lupososhi,Clinical,Under 5,473
2020-05-01,Lupososhi,Clinical,Over 5,580
2020-05-01,Lupososhi,Clinical,Under 5,175
2020-05-01,Lupososhi,Confirmed,Under 5,909
2020-05-01,Lupososhi,Confirmed,Over 5,1106
2020-05-01,Lupososhi,Confirmed,Under 5,237
2020-05-01,Luwingu,Clinical,Under 5,776
2020-05-01,Luwingu,Clinical,Over 5,1923
2020-05-01,Luwingu,Clinical,Under 5,204
2020-05-01,Luwingu,Confirmed,Under 5,1093
2020-05-01,Luwingu,Confirmed,Over 5,2434
2020-05-01,Luwingu,Confirmed,Under 5,387
2020-05-01,Mbala,Clinical,Under 5,321
2020-05-01,Mbala,Clinical,Over 5,1128
2020-05-01,Mbala,Clinical,Under 5,77
2020-05-01,Mbala,Confirmed,Under 5,1651
2020-05-01,Mbala,Confirmed,Over 5,4243
2020-05-01,Mbala,Confirmed,Under 5,251
2020-05-01,Mbala,Confirmed_Passive_CHW,Over 5,77
2020-05-01,Mbala,Confirmed_Passive_CHW,Under 5,17
2020-05-01,Mbala,Confirmed_Passive_CHW,NA,1
2020-05-01,Mporokoso,Confirmed,Under 5,701
2020-05-01,Mporokoso,Confirmed,Over 5,4512
2020-05-01,Mporokoso,Confirmed,Under 5,107
2020-05-01,Mpulungu,Clinical,Under 5,14
2020-05-01,Mpulungu,Clinical,Over 5,20
2020-05-01,Mpulungu,Clinical,Under 5,4
2020-05-01,Mpulungu,Confirmed,Under 5,1283
2020-05-01,Mpulungu,Confirmed,Over 5,1415
2020-05-01,Mpulungu,Confirmed,Under 5,223
2020-05-01,Mungwi,Clinical,Under 5,1156
2020-05-01,Mungwi,Clinical,Over 5,2168
2020-05-01,Mungwi,Clinical,Under 5,412
2020-05-01,Mungwi,Confirmed,Under 5,2571
2020-05-01,Mungwi,Confirmed,Over 5,5302
2020-05-01,Mungwi,Confirmed,Under 5,617
2020-05-01,Nsama,Clinical,Under 5,55
2020-05-01,Nsama,Clinical,Over 5,93
2020-05-01,Nsama,Clinical,Under 5,24
2020-05-01,Nsama,Confirmed,Under 5,1178
2020-05-01,Nsama,Confirmed,Over 5,2105
2020-05-01,Nsama,Confirmed,Under 5,369
2020-05-01,Senga,Clinical,Under 5,423
2020-05-01,Senga,Clinical,Over 5,875
2020-05-01,Senga,Clinical,Under 5,118
2020-05-01,Senga,Confirmed,Under 5,1859
2020-05-01,Senga,Confirmed,Over 5,4031
2020-05-01,Senga,Confirmed,Under 5,604
2020-05-01,Senga,Confirmed_Passive_CHW,Over 5,57
2020-05-01,Senga,Confirmed_Passive_CHW,Under 5,44
2020-05-01,Senga,Confirmed_Passive_CHW,NA,0
2020-06-01,Chilubi,Clinical,Under 5,37
2020-06-01,Chilubi,Clinical,Over 5,79
2020-06-01,Chilubi,Clinical,Under 5,32
2020-06-01,Chilubi,Confirmed,Under 5,1624
2020-06-01,Chilubi,Confirmed,Over 5,1729
2020-06-01,Chilubi,Confirmed,Under 5,816
2020-06-01,Kaputa,Clinical,Under 5,1
2020-06-01,Kaputa,Confirmed,Under 5,1410
2020-06-01,Kaputa,Confirmed,Over 5,3042
2020-06-01,Kaputa,Confirmed,Under 5,382
2020-06-01,Kasama,Clinical,Under 5,251
2020-06-01,Kasama,Clinical,Over 5,1006
2020-06-01,Kasama,Clinical,Under 5,87
2020-06-01,Kasama,Confirmed,Under 5,3331
2020-06-01,Kasama,Confirmed,Over 5,9520
2020-06-01,Kasama,Confirmed,Under 5,871
2020-06-01,Kasama,Confirmed_Passive_CHW,Over 5,0
2020-06-01,Kasama,Confirmed_Passive_CHW,Under 5,0
2020-06-01,Kasama,Confirmed_Passive_CHW,NA,0
2020-06-01,Lunte,Clinical,Under 5,2
2020-06-01,Lunte,Clinical,Over 5,24
2020-06-01,Lunte,Clinical,Under 5,1
2020-06-01,Lunte,Confirmed,Under 5,920
2020-06-01,Lunte,Confirmed,Over 5,3558
2020-06-01,Lunte,Confirmed,Under 5,128
2020-06-01,Lupososhi,Clinical,Under 5,104
2020-06-01,Lupososhi,Clinical,Over 5,141
2020-06-01,Lupososhi,Clinical,Under 5,33
2020-06-01,Lupososhi,Confirmed,Under 5,817
2020-06-01,Lupososhi,Confirmed,Over 5,1053
2020-06-01,Lupososhi,Confirmed,Under 5,268
2020-06-01,Luwingu,Clinical,Under 5,236
2020-06-01,Luwingu,Clinical,Over 5,414
2020-06-01,Luwingu,Clinical,Under 5,72
2020-06-01,Luwingu,Confirmed,Under 5,1360
2020-06-01,Luwingu,Confirmed,Over 5,3013
2020-06-01,Luwingu,Confirmed,Under 5,374
2020-06-01,Mbala,Clinical,Under 5,95
2020-06-01,Mbala,Clinical,Over 5,312
2020-06-01,Mbala,Clinical,Under 5,9
2020-06-01,Mbala,Confirmed,Under 5,2247
2020-06-01,Mbala,Confirmed,Over 5,5269
2020-06-01,Mbala,Confirmed,Under 5,459
2020-06-01,Mbala,Confirmed_Passive_CHW,Over 5,139
2020-06-01,Mbala,Confirmed_Passive_CHW,Under 5,52
2020-06-01,Mbala,Confirmed_Passive_CHW,NA,0
2020-06-01,Mporokoso,Confirmed,Under 5,355
2020-06-01,Mporokoso,Confirmed,Over 5,1975
2020-06-01,Mporokoso,Confirmed,Under 5,57
2020-06-01,Mpulungu,Clinical,Under 5,6
2020-06-01,Mpulungu,Clinical,Over 5,25
2020-06-01,Mpulungu,Clinical,Under 5,7
2020-06-01,Mpulungu,Confirmed,Under 5,1827
2020-06-01,Mpulungu,Confirmed,Over 5,2913
2020-06-01,Mpulungu,Confirmed,Under 5,377
2020-06-01,Mungwi,Clinical,Under 5,429
2020-06-01,Mungwi,Clinical,Over 5,944
2020-06-01,Mungwi,Clinical,Under 5,105
2020-06-01,Mungwi,Confirmed,Under 5,2967
2020-06-01,Mungwi,Confirmed,Over 5,5927
2020-06-01,Mungwi,Confirmed,Under 5,799
2020-06-01,Nsama,Clinical,Under 5,147
2020-06-01,Nsama,Clinical,Over 5,363
2020-06-01,Nsama,Clinical,Under 5,30
2020-06-01,Nsama,Confirmed,Under 5,918
2020-06-01,Nsama,Confirmed,Over 5,1511
2020-06-01,Nsama,Confirmed,Under 5,260
2020-06-01,Senga,Clinical,Under 5,186
2020-06-01,Senga,Clinical,Over 5,419
2020-06-01,Senga,Clinical,Under 5,78
2020-06-01,Senga,Confirmed,Under 5,1784
2020-06-01,Senga,Confirmed,Over 5,3506
2020-06-01,Senga,Confirmed,Under 5,378
2020-06-01,Senga,Confirmed_Passive_CHW,Over 5,82
2020-06-01,Senga,Confirmed_Passive_CHW,Under 5,64
2020-06-01,Senga,Confirmed_Passive_CHW,NA,0
2020-07-01,Chilubi,Clinical,Under 5,50
2020-07-01,Chilubi,Clinical,Over 5,59
2020-07-01,Chilubi,Clinical,Under 5,37
2020-07-01,Chilubi,Confirmed,Under 5,1112
2020-07-01,Chilubi,Confirmed,Over 5,1165
2020-07-01,Chilubi,Confirmed,Under 5,517
2020-07-01,Kaputa,Confirmed,Under 5,1531
2020-07-01,Kaputa,Confirmed,Over 5,2655
2020-07-01,Kaputa,Confirmed,Under 5,385
2020-07-01,Kasama,Clinical,Under 5,721
2020-07-01,Kasama,Clinical,Over 5,1944
2020-07-01,Kasama,Clinical,Under 5,132
2020-07-01,Kasama,Confirmed,Under 5,1710
2020-07-01,Kasama,Confirmed,Over 5,4131
2020-07-01,Kasama,Confirmed,Under 5,372
2020-07-01,Kasama,Confirmed_Passive_CHW,Over 5,0
2020-07-01,Kasama,Confirmed_Passive_CHW,Under 5,0
2020-07-01,Kasama,Confirmed_Passive_CHW,NA,0
2020-07-01,Lunte,Clinical,Under 5,52
2020-07-01,Lunte,Clinical,Over 5,277
2020-07-01,Lunte,Clinical,Under 5,6
2020-07-01,Lunte,Confirmed,Under 5,381
2020-07-01,Lunte,Confirmed,Over 5,1249
2020-07-01,Lunte,Confirmed,Under 5,66
2020-07-01,Lupososhi,Clinical,Under 5,20
2020-07-01,Lupososhi,Clinical,Over 5,23
2020-07-01,Lupososhi,Clinical,Under 5,5
2020-07-01,Lupososhi,Confirmed,Under 5,588
2020-07-01,Lupososhi,Confirmed,Over 5,719
2020-07-01,Lupososhi,Confirmed,Under 5,184
2020-07-01,Luwingu,Clinical,Under 5,46
2020-07-01,Luwingu,Clinical,Over 5,64
2020-07-01,Luwingu,Clinical,Under 5,12
2020-07-01,Luwingu,Confirmed,Under 5,930
2020-07-01,Luwingu,Confirmed,Over 5,1718
2020-07-01,Luwingu,Confirmed,Under 5,247
2020-07-01,Mbala,Clinical,Under 5,59
2020-07-01,Mbala,Clinical,Over 5,129
2020-07-01,Mbala,Clinical,Under 5,14
2020-07-01,Mbala,Confirmed,Under 5,1129
2020-07-01,Mbala,Confirmed,Over 5,2598
2020-07-01,Mbala,Confirmed,Under 5,210
2020-07-01,Mbala,Confirmed_Passive_CHW,Over 5,81
2020-07-01,Mbala,Confirmed_Passive_CHW,Under 5,24
2020-07-01,Mbala,Confirmed_Passive_CHW,NA,0
2020-07-01,Mporokoso,Confirmed,Under 5,191
2020-07-01,Mporokoso,Confirmed,Over 5,922
2020-07-01,Mporokoso,Confirmed,Under 5,39
2020-07-01,Mpulungu,Confirmed,Under 5,1082
2020-07-01,Mpulungu,Confirmed,Over 5,2102
2020-07-01,Mpulungu,Confirmed,Under 5,217
2020-07-01,Mungwi,Clinical,Under 5,191
2020-07-01,Mungwi,Clinical,Over 5,421
2020-07-01,Mungwi,Clinical,Under 5,67
2020-07-01,Mungwi,Confirmed,Under 5,1626
2020-07-01,Mungwi,Confirmed,Over 5,3359
2020-07-01,Mungwi,Confirmed,Under 5,458
2020-07-01,Nsama,Clinical,Under 5,24
2020-07-01,Nsama,Clinical,Over 5,50
2020-07-01,Nsama,Clinical,Under 5,10
2020-07-01,Nsama,Confirmed,Under 5,763
2020-07-01,Nsama,Confirmed,Over 5,1125
2020-07-01,Nsama,Confirmed,Under 5,166
2020-07-01,Senga,Clinical,Under 5,486
2020-07-01,Senga,Clinical,Over 5,1103
2020-07-01,Senga,Clinical,Under 5,160
2020-07-01,Senga,Confirmed,Under 5,884
2020-07-01,Senga,Confirmed,Over 5,1495
2020-07-01,Senga,Confirmed,Under 5,437
2020-07-01,Senga,Confirmed_Passive_CHW,Over 5,10
2020-07-01,Senga,Confirmed_Passive_CHW,Under 5,4
2020-07-01,Senga,Confirmed_Passive_CHW,NA,0
2020-08-01,Chilubi,Clinical,Under 5,85
2020-08-01,Chilubi,Clinical,Over 5,92
2020-08-01,Chilubi,Clinical,Under 5,33
2020-08-01,Chilubi,Confirmed,Under 5,908
2020-08-01,Chilubi,Confirmed,Over 5,910
2020-08-01,Chilubi,Confirmed,Under 5,372
2020-08-01,Kaputa,Confirmed,Under 5,1436
2020-08-01,Kaputa,Confirmed,Over 5,2434
2020-08-01,Kaputa,Confirmed,Under 5,382
2020-08-01,Kasama,Clinical,Under 5,28
2020-08-01,Kasama,Clinical,Over 5,88
2020-08-01,Kasama,Clinical,Under 5,10
2020-08-01,Kasama,Confirmed,Under 5,1723
2020-08-01,Kasama,Confirmed,Over 5,3794
2020-08-01,Kasama,Confirmed,Under 5,451
2020-08-01,Lunte,Clinical,Under 5,1
2020-08-01,Lunte,Clinical,Over 5,3
2020-08-01,Lunte,Confirmed,Under 5,232
2020-08-01,Lunte,Confirmed,Over 5,647
2020-08-01,Lunte,Confirmed,Under 5,35
2020-08-01,Lupososhi,Clinical,Under 5,8
2020-08-01,Lupososhi,Clinical,Over 5,12
2020-08-01,Lupososhi,Clinical,Under 5,2
2020-08-01,Lupososhi,Confirmed,Under 5,502
2020-08-01,Lupososhi,Confirmed,Over 5,513
2020-08-01,Lupososhi,Confirmed,Under 5,132
2020-08-01,Luwingu,Clinical,Under 5,29
2020-08-01,Luwingu,Clinical,Over 5,47
2020-08-01,Luwingu,Clinical,Under 5,4
2020-08-01,Luwingu,Confirmed,Under 5,523
2020-08-01,Luwingu,Confirmed,Over 5,1156
2020-08-01,Luwingu,Confirmed,Under 5,168
2020-08-01,Mbala,Clinical,Under 5,86
2020-08-01,Mbala,Clinical,Over 5,119
2020-08-01,Mbala,Clinical,Under 5,13
2020-08-01,Mbala,Confirmed,Under 5,578
2020-08-01,Mbala,Confirmed,Over 5,1048
2020-08-01,Mbala,Confirmed,Under 5,145
2020-08-01,Mbala,Confirmed_Passive_CHW,Over 5,95
2020-08-01,Mbala,Confirmed_Passive_CHW,Under 5,63
2020-08-01,Mbala,Confirmed_Passive_CHW,NA,0
2020-08-01,Mporokoso,Confirmed,Under 5,130
2020-08-01,Mporokoso,Confirmed,Over 5,371
2020-08-01,Mporokoso,Confirmed,Under 5,29
2020-08-01,Mpulungu,Confirmed,Under 5,1051
2020-08-01,Mpulungu,Confirmed,Over 5,1792
2020-08-01,Mpulungu,Confirmed,Under 5,245
2020-08-01,Mungwi,Clinical,Under 5,71
2020-08-01,Mungwi,Clinical,Over 5,334
2020-08-01,Mungwi,Clinical,Under 5,41
2020-08-01,Mungwi,Confirmed,Under 5,1713
2020-08-01,Mungwi,Confirmed,Over 5,3213
2020-08-01,Mungwi,Confirmed,Under 5,497
2020-08-01,Nsama,Clinical,Under 5,7
2020-08-01,Nsama,Clinical,Over 5,3
2020-08-01,Nsama,Clinical,Under 5,10
2020-08-01,Nsama,Confirmed,Under 5,696
2020-08-01,Nsama,Confirmed,Over 5,1131
2020-08-01,Nsama,Confirmed,Under 5,235
2020-08-01,Senga,Clinical,Under 5,83
2020-08-01,Senga,Clinical,Over 5,145
2020-08-01,Senga,Clinical,Under 5,42
2020-08-01,Senga,Confirmed,Under 5,928
2020-08-01,Senga,Confirmed,Over 5,1671
2020-08-01,Senga,Confirmed,Under 5,263
2020-08-01,Senga,Confirmed_Passive_CHW,Over 5,8
2020-08-01,Senga,Confirmed_Passive_CHW,Under 5,7
2020-08-01,Senga,Confirmed_Passive_CHW,NA,0
2020-09-01,Chilubi,Clinical,Under 5,60
2020-09-01,Chilubi,Clinical,Over 5,51
2020-09-01,Chilubi,Clinical,Under 5,35
2020-09-01,Chilubi,Confirmed,Under 5,1459
2020-09-01,Chilubi,Confirmed,Over 5,1434
2020-09-01,Chilubi,Confirmed,Under 5,643
2020-09-01,Kaputa,Confirmed,Under 5,1580
2020-09-01,Kaputa,Confirmed,Over 5,2625
2020-09-01,Kaputa,Confirmed,Under 5,401
2020-09-01,Kasama,Clinical,Under 5,58
2020-09-01,Kasama,Clinical,Over 5,186
2020-09-01,Kasama,Clinical,Under 5,12
2020-09-01,Kasama,Confirmed,Under 5,2443
2020-09-01,Kasama,Confirmed,Over 5,5425
